# #1 
#  double data(52560,2)
0.000000000000000000e+00 2.000000000000000000e+00
6.000114157423085999e+02 2.000000000000000000e+00
1.200022831484617200e+03 2.000000000000000000e+00
1.800034247226925800e+03 2.000000000000000000e+00
2.400045662969234399e+03 2.000000000000000000e+00
3.000057078711542999e+03 2.000000000000000000e+00
3.600068494453851599e+03 2.000000000000000000e+00
4.200079910196160199e+03 2.000000000000000000e+00
4.800091325938468799e+03 2.000000000000000000e+00
5.400102741680777399e+03 2.000000000000000000e+00
6.000114157423085999e+03 2.000000000000000000e+00
6.600125573165394599e+03 2.000000000000000000e+00
7.200136988907703198e+03 2.000000000000000000e+00
7.800148404650011798e+03 1.000000000000000000e+00
8.400159820392320398e+03 1.000000000000000000e+00
9.000171236134628998e+03 1.000000000000000000e+00
9.600182651876937598e+03 1.000000000000000000e+00
1.020019406761924620e+04 3.000000000000000000e+00
1.080020548336155480e+04 3.000000000000000000e+00
1.140021689910386340e+04 3.000000000000000000e+00
1.200022831484617200e+04 3.000000000000000000e+00
1.260023973058848060e+04 3.000000000000000000e+00
1.320025114633078920e+04 3.000000000000000000e+00
1.380026256207309780e+04 3.000000000000000000e+00
1.440027397781540640e+04 3.000000000000000000e+00
1.500028539355771500e+04 3.000000000000000000e+00
1.560029680930002360e+04 3.000000000000000000e+00
1.620030822504233220e+04 3.000000000000000000e+00
1.680031964078464080e+04 3.000000000000000000e+00
1.740033105652694940e+04 3.000000000000000000e+00
1.800034247226925800e+04 3.000000000000000000e+00
1.860035388801156660e+04 3.000000000000000000e+00
1.920036530375387520e+04 3.000000000000000000e+00
1.980037671949618380e+04 3.000000000000000000e+00
2.040038813523849240e+04 3.000000000000000000e+00
2.100039955098080100e+04 3.000000000000000000e+00
2.160041096672310960e+04 3.000000000000000000e+00
2.220042238246541820e+04 3.000000000000000000e+00
2.280043379820772680e+04 3.000000000000000000e+00
2.340044521395003540e+04 3.000000000000000000e+00
2.400045662969234399e+04 3.000000000000000000e+00
2.460046804543465259e+04 3.000000000000000000e+00
2.520047946117696119e+04 3.000000000000000000e+00
2.580049087691926979e+04 3.000000000000000000e+00
2.640050229266157839e+04 3.000000000000000000e+00
2.700051370840388699e+04 3.000000000000000000e+00
2.760052512414619559e+04 3.000000000000000000e+00
2.820053653988850419e+04 3.000000000000000000e+00
2.880054795563081279e+04 3.000000000000000000e+00
2.940055937137312139e+04 3.000000000000000000e+00
3.000057078711542999e+04 3.000000000000000000e+00
3.060058220285773859e+04 3.000000000000000000e+00
3.120059361860004719e+04 3.000000000000000000e+00
3.180060503434235579e+04 3.000000000000000000e+00
3.240061645008466439e+04 3.000000000000000000e+00
3.300062786582697299e+04 3.000000000000000000e+00
3.360063928156928159e+04 3.000000000000000000e+00
3.420065069731159019e+04 3.000000000000000000e+00
3.480066211305389879e+04 3.000000000000000000e+00
